comments,likes
0,0
1,12
2,5
3,17
4,21
5,0
6,25
7,22
8,35
9,38
10,43
11,41
12,17
13,58
14,56
15,75
16,84
17,91
18,76
19,72
20,94
21,56
22,73
23,97
24,114
25,91
26,141
27,108
28,70
29,91
30,117
31,86
32,160
33,124
34,156
35,124
36,153
37,169
38,73
39,108
40,125
41,115
42,207
43,203
44,201
45,205
46,154
47,198
48,116
49,216
50,244
51,142
52,140
53,239
54,252
55,104
56,226
57,266
58,197
59,136
60,151
61,259
62,136
63,288
64,269
65,160
66,327
67,177
68,182
69,198
70,330
71,225
72,262
73,240
74,216
75,303
76,373
77,291
78,266
79,275
80,187
81,325
82,242
83,282
84,393
85,230
86,295
87,353
88,282
89,324
90,201
91,324
92,430
93,239
94,409
95,478
96,230
97,467
98,217
99,251
100,488
101,481
102,316
103,365
104,321
105,503
106,280
107,213
108,349
109,500
110,488
111,325
112,537
113,228
114,406
115,241
116,254
117,543
118,391
119,394
120,429
121,298
122,411
123,485
124,542
125,439
126,377
127,356
128,330
129,346
130,623
131,630
132,573
133,420
134,362
135,659
136,302
137,299
138,554
139,509
140,319
141,641
142,336
143,504
144,452
145,531
146,458
147,534
148,682
149,406
150,466
151,554
152,381
153,603
154,449
155,569
156,708
157,562
158,665
159,765
160,604
161,618
162,438
163,371
164,499
165,694
166,539
167,699
168,692
169,560
170,493
171,501
172,669
173,534
174,789
175,449
176,410
177,662
178,394
179,459
180,602
181,868
182,377
183,529
184,669
185,784
186,808
187,819
188,772
189,887
190,443
191,443
192,604
193,428
194,395
195,424
196,904
197,824
198,552
199,984
200,688
201,883
202,704
203,680
204,538
205,509
206,612
207,663
208,544
209,521
210,721
211,994
212,954
213,626
214,489
215,710
216,1027
217,823
218,962
219,1003
220,744
221,754
222,791
223,748
224,1086
225,822
226,713
227,1088
228,1042
229,825
230,840
231,700
232,585
233,1000
234,481
235,495
236,856
237,670
238,909
239,911
240,1082
241,780
242,1199
243,1044
244,524
245,1035
246,712
247,913
248,694
249,1100
250,616
251,807
252,735
253,813
254,727
255,648
256,805
257,981
258,875
259,664
260,537
261,771
262,855
263,820
264,1212
265,1025
266,1035
267,823
268,961
269,911
270,1293
271,861
272,565
273,930
274,1337
275,727
276,626
277,721
278,921
279,997
280,1286
281,972
282,1222
283,690
284,635
285,798
286,840
287,1410
288,565
289,722
290,940
291,1083
292,1238
293,793
294,673
295,1150
296,1383
297,849
298,1467
299,948
300,1286
301,1239
302,963
303,767
304,1042
305,1007
306,742
307,971
308,1159
309,1376
310,1428
311,812
312,1350
313,1203
314,725
315,1335
316,1452
317,1340
318,693
319,1010
320,1379
321,1336
322,824
323,1167
324,1500
325,959
326,905
327,1374
328,1145
329,1350
330,1438
331,1209
332,1274
333,1211
334,788
335,1247
336,1175
337,1476
338,1283
339,1521
340,1141
341,890
342,1149
343,1551
344,1045
345,761
346,1360
347,1693
348,1097
349,1102
350,1040
351,1230
352,846
353,1523
354,1383
355,738
356,1573
357,1403
358,1523
359,1678
360,1021
361,855
362,1223
363,801
364,1242
365,1132
366,1140
367,1647
368,1740
369,1617
370,1674
371,1464
372,1770
373,1608
374,1669
375,1260
376,987
377,1859
378,1727
379,1620
380,1005
381,1625
382,1857
383,1091
384,1730
385,1486
386,838
387,1178
388,835
389,1627
390,846
391,1292
392,795
393,858
394,1720
395,1685
396,1055
397,972
398,1941
399,1057
400,1965
401,981
402,1234
403,1175
404,1804
405,1448
406,1073
407,1743
408,940
409,1534
410,1637
411,1518
412,2029
413,1922
414,2039
415,1794
